state,bpc
Alabama,4.3
Alaska,0.4
Arizona,0.6
Arkansas,1
California,1.4
Colorado,4.7
Connecticut,0.9
Delaware,1.5
Florida,1.8
Georgia,0.5
Hawaii,0.4
Idaho,0.8
Illinois,1.8
Indiana,3.1
Iowa,0.9
Kansas,1.4
Kentucky,1
Louisiana,0.5
Maine,0.3
Maryland,4.7
Massachusetts,0.8
Michigan,1.2
Minnesota,1.8
Mississippi,1.3
Missouri,0.2
Montana,1.1
Nebraska,5.3
Nevada,1.3
New Hampshire,1.2
New Jersey,1.7
New Mexico,2.2
New York,0.4
North Carolina,2.1
North Dakota,1.1
Ohio,1.1
Oklahoma,0.9
Oregon,0.5
Pennsylvania,6.3
Rhode Island,1.1
South Carolina,1
South Dakota,0.6
Tennessee,1.7
Texas,0.7
Utah,0.5
Vermont,0.9
Virginia,1
Washington,6.4
West Virginia,4
Wisconsin,2.2
Wyoming,0.5
WY,4.3
